UniProt_ID,Non-HMR_HMRPred_Probability,MB_Mebipred_Probaility
Q9GKX2,0.987614,0.71
Q9H2A9,0.981552,0.61
Q9HC35,0.987893,0.51
Q9JI60,0.973083,0.52
Q9JI61,0.981664,0.66
Q9P8P2,0.983645,0.6
Q9RCG0,0.97839,0.51
Q9SMN1,0.981183,0.68
Q9SV68,0.983535,0.59
Q9V6U9,0.971631,0.58
Q9VRX2,0.993867,0.54
Q9XDN0,0.992513,0.58
Q9XDN1,0.983234,0.58
Q9XW70,0.937343,0.62
Q9Z2B5,0.979005,0.53
Q9Z2E3,0.979295,0.58
Q9Z2K5,0.979516,0.58
Q9Z311,0.968386,0.58
Q9ZW18,0.982802,0.56
A0A075TR27,0.985348,0.8
A0A075TXZ3,0.962593,0.61
A0A0H2URT2,0.988165,0.58
A0A0H2ZM56,0.988039,0.58
A0A0S1X9S7,0.974746,0.53
A0A2L0VXR0,0.983208,0.54
A0A644F0T7,0.98827,0.53
A0A7U2MMF3,0.977907,0.53
A1IIX4,0.989553,0.7
A4IP64,0.979321,0.5
A4ISB9,0.98132,0.76
B1VB75,0.980378,0.6
C3VA26,0.973312,0.89
C5MRT8,0.946664,0.82
D0KWS8,0.966243,0.68
D2Y3X2,0.976074,0.54
F4I312,0.99522,0.55
G8YXZ9,0.983413,0.59
H1AAP2,0.97826,0.6
M1V1V5,0.992807,0.58
N4WE43,0.972512,0.68
O13702,0.944276,0.57
O34215,0.995524,0.56
O97764,0.981413,0.81
P09369,0.978788,0.63
P0A388,0.981909,0.56
P0ABE9,0.975261,0.51
P0CQ08,0.990581,0.63
P0CQ09,0.990581,0.63
P0DJA2,0.985303,0.62
P0DOW0,0.992185,0.54
P10807,0.9889,0.65
P26719,0.98028,0.64
P29898,0.944127,0.93
P33744,0.969632,0.57
P37473,0.989382,0.65
P38113,0.98998,0.54
P38945,0.992484,0.73
P41795,0.977461,0.54
P45511,0.968726,0.54
P45548,0.971144,0.51
P45579,0.989917,0.56
P71017,0.973407,0.57
P76553,0.993034,0.53
P94135,0.978727,0.55
Q05114,0.981034,0.8
Q0VC50,0.950927,0.55
Q17QU5,0.977625,0.59
Q1R183,0.986461,0.88
Q2ULU6,0.967501,0.51
Q31NB2,0.915699,0.94
Q39221,0.973373,0.5
Q3IZ91,0.968313,0.54
Q4QQW3,0.988151,0.56
Q4R0J7,0.975771,0.5
Q4V8C3,0.965623,0.59
Q4WZ69,0.979081,0.52
Q53865,0.971944,0.78
Q56304,0.975975,0.57
Q59086,0.991061,0.65
Q5XFW6,0.981113,0.55
Q68EI0,0.980938,0.57
Q6CEE9,0.983384,0.88
Q6P6T4,0.969253,0.5
Q7T3C7,0.977156,0.63
Q805F9,0.963948,0.66
Q82IY9,0.98711,0.68
Q82LU9,0.992749,0.63
Q84V25,0.979856,0.66
Q8EEB0,0.96726,0.52
Q8KIL1,0.980043,0.54
Q8R0N6,0.986633,0.53
Q8VC03,0.995021,0.52
Q8YT18,0.947797,0.91
Q93ZA3,0.974283,0.83
Q94AU7,0.987598,0.71
Q9C6F5,0.960703,0.5
Q9D180,0.988237,0.99
Q9FZ42,0.987092,0.76
Q9GN94,0.98054,0.64
Q9HVM8,0.970855,0.6
Q9KWN1,0.986176,0.79
Q9SQR2,0.979716,0.61
Q9UUN9,0.968223,0.85
Q9ZUH5,0.957982,0.56
W6QB15,0.96008,0.69
A0A023I4C8,0.952264,0.59
A0A023I4D6,0.980557,0.63
A0A1W5SKT4,0.988621,0.6
A0A1W5T4X6,0.996256,0.61
A0A2I1C3V7,0.984317,0.61
A0A2U8U2K8,0.988126,0.84
A0R566,0.935407,0.6
A1CFK9,0.941912,0.5
A1CFL1,0.986662,0.5
A1CFL7,0.984168,0.73
A1CFM1,0.951931,0.63
A4YGA7,0.986899,0.52
A4YGN2,0.995763,0.59
A6QP15,0.987068,0.66
A6ZTT5,0.990852,0.64
A7XRY6,0.988043,0.6
A8WTJ7,0.983183,0.7
A9CES3,0.990125,0.54
B1VB76,0.991972,0.55
B4M8Y0,0.97643,0.82
B6H060,0.963386,0.86
B6H061,0.972649,0.79
B6H063,0.974721,0.61
B6H064,0.984849,0.53
B6H065,0.944942,0.6
B6H067,0.966587,0.71
B8NJH0,0.951898,0.67
B9WYE6,0.978819,0.73
D1YUK8,0.992267,0.53
D2S1F7,0.988805,0.53
D3U1D9,0.981727,0.74
D9XF45,0.985686,0.57
E1ACQ9,0.985481,0.51
E1AQY3,0.98555,0.61
E3VWI6,0.990625,0.64
E5Y946,0.975571,0.59
E9Q743,0.995896,0.61
F0QYK7,0.98895,0.51
G3XMC1,0.974615,0.66
G3XMC3,0.987372,0.7
G3XMD0,0.977904,0.61
I7MKT5,0.98991,0.57
K4BW79,0.984571,0.64
N4WE73,0.981208,0.75
N4WW42,0.827414,0.93
O05544,0.950071,0.86
O07497,0.953566,0.54
O13878,0.962622,0.53
O13981,0.97466,0.5
O30711,0.963062,0.51
O45487,0.95313,0.61
O45903,0.980937,0.63
O69014,0.940121,0.61
O74379,0.938501,0.65
O74489,0.989309,0.63
O84992,0.984686,0.61
O94533,0.925511,0.51
P06622,0.986024,0.64
P07159,0.982108,0.67
P07160,0.981772,0.62
P07161,0.979485,0.81
P07162,0.979894,0.57
P09370,0.977141,0.86
P0A389,0.981909,0.56
P0A9S2,0.98413,0.58
P0A9S6,0.993016,0.53
P0AG84,0.991837,0.56
P0DMP5,0.984078,0.59
P10662,0.961163,0.57
P12628,0.988584,0.69
P12854,0.97805,0.66
P14940,0.987463,0.54
P19333,0.97952,0.68
P19992,0.995917,0.65
P21518,0.977886,0.56
P21898,0.978276,0.58
P22245,0.979551,0.7
P22246,0.974414,0.7
P23102,0.996295,0.53
P23236,0.976376,0.74
P23237,0.979923,0.7
P23277,0.979274,0.63
P23278,0.978206,0.58
P23361,0.976888,0.63
P24267,0.985194,0.65
P25139,0.989159,0.66
P25720,0.977097,0.63
P25721,0.982873,0.63
P25988,0.984546,0.78
P27137,0.9933,0.63
P27175,0.990809,0.83
P27581,0.978455,0.63
P28483,0.981737,0.65
P28484,0.980627,0.62
P28625,0.99054,0.51
P37079,0.985145,0.68
P42883,0.996529,0.55
P46281,0.995895,0.51
P46510,0.994066,0.51
P46511,0.996074,0.51
P46512,0.996102,0.5
P47141,0.971819,0.65
P48584,0.973858,0.62
P48585,0.976518,0.8
P48586,0.977537,0.79
P48587,0.975964,0.8
P51549,0.978817,0.58
P51550,0.995245,0.56
P51551,0.977651,0.58
P51552,0.986039,0.68
P54398,0.971319,0.93
P76043,0.994015,0.55
P84328,0.988746,0.65
P94681,0.990349,0.72
Q00669,0.979784,0.62
Q00670,0.984567,0.85
Q00671,0.978839,0.6
Q00672,0.979476,0.6
Q03384,0.99109,0.65
Q04944,0.946485,0.66
Q04945,0.923151,0.73
Q07588,0.983949,0.62
Q08B39,0.988574,0.69
Q09009,0.990369,0.65
Q09010,0.990899,0.65
Q0CJC5,0.98764,0.56
Q0MVN8,0.980296,0.75
Q0W5A6,0.992033,0.62
Q10488,0.986188,0.61
Q17334,0.986741,0.57
Q1QU27,0.982833,0.84
Q24641,0.98054,0.64
Q24DE2,0.944941,0.51
Q24K16,0.983774,0.7
Q27404,0.974058,0.8
Q27969,0.973872,0.99
Q28452,0.984722,0.58
Q2G1B9,0.936674,0.56
Q2TAF3,0.988725,0.5
Q3J6K9,0.989933,0.65
Q3U821,0.979339,0.52
Q50L96,0.98123,0.61
Q53U21,0.992128,0.57
Q54II4,0.987498,0.57
Q54PE0,0.981976,0.58
Q54YT4,0.994777,0.63
Q5AR48,0.984322,0.77
Q5E1G4,0.989671,0.86
Q5I0B4,0.98389,0.54
Q5LS56,0.970787,0.59
Q5R4S7,0.982252,0.74
Q5RF11,0.988819,0.64
Q5RFQ3,0.971363,0.55
Q5W9E3,0.986109,0.7
Q5ZL00,0.988092,0.55
Q6AYT0,0.98233,0.5
Q6BLV6,0.973314,0.63
Q6BV30,0.981826,0.55
Q6CBE4,0.967113,0.76
Q6DIP5,0.989892,0.5
Q6FXN7,0.987146,0.82
Q6GQN8,0.981935,0.53
Q6L4S0,0.979526,0.55
Q6L743,0.993664,0.62
Q6LCE4,0.988746,0.65
Q6P371,0.985221,0.7
Q6PA72,0.982374,0.54
Q6QNU4,0.980837,0.65
Q6ZQQ6,0.989862,0.5
Q70JN9,0.981908,0.57
Q70KF0,0.99106,0.58
Q757U3,0.968094,0.66
Q7V2C7,0.94387,0.56
Q7V6G1,0.958875,0.54
Q7Z9I2,0.96881,0.6
Q803V5,0.979155,0.61
Q87FA5,0.988124,0.75
Q8C0Z1,0.996005,1
Q8DPI3,0.991975,0.67
Q8IZU2,0.980869,0.55
Q8NJJ9,0.984938,0.56
Q8SU52,0.97763,0.67
Q921W4,0.982965,0.55
Q92247,0.990631,0.75
Q975C8,0.987746,0.65
Q97U21,0.986055,0.52
Q97YU3,0.912794,0.55
Q9F282,0.961406,0.71
Q9HCJ6,0.990025,0.65
Q9HHR2,0.987739,0.51
Q9LFS2,0.972664,0.7
Q9P4T7,0.986552,0.84
Q9SEP2,0.968398,0.53
Q9SEP4,0.971449,0.53
Q9U2M4,0.983101,0.73
Q9W265,0.992706,0.68
Q9WYQ4,0.964088,0.61
Q9XD78,0.963497,0.59
Q9XXC8,0.988381,0.74
S0ASL9,0.991483,0.6
S0DRW9,0.986595,0.62
S7ZK59,0.996324,0.59
T2KMF4,0.987144,0.72
W6Q5R7,0.980557,0.63
W6QP06,0.952592,0.59
W6QP10,0.934499,0.58
A0A4V1DXC3,0.963957,0.53
A0A6L8Q027,0.940011,0.64
A6QQF5,0.988836,0.52
A7TH23,0.960039,0.7
A8XKV0,0.992931,0.58
B0BNC9,0.984827,0.51
B1LFW8,0.96115,0.7
B4T6J4,0.966071,0.8
B4TIG8,0.966071,0.8
B4TWR2,0.966071,0.8
B5BL53,0.966071,0.8
B5F748,0.963779,0.8
B5FHG3,0.966524,0.74
B5R1Q8,0.966071,0.8
B5RGA3,0.966071,0.8
B6H068,0.927225,0.62
B6H069,0.956,0.58
B7FF08,0.987227,0.52
C0Q4L1,0.966071,0.8
C5E3S4,0.991019,0.62
C5E3S5,0.993068,0.53
C6BGE7,0.945412,0.71
D3ZWJ9,0.979165,0.53
D5AP79,0.994599,0.59
E5AE42,0.978217,0.82
F8DVL8,0.985288,0.62
G3XMB9,0.981031,0.77
G4Q9J6,0.977754,0.67
J1H1J3,0.988331,0.55
M1W848,0.944579,0.55
O05239,0.98403,0.79
O05240,0.983023,0.62
O06983,0.945437,0.62
O07615,0.990303,0.65
O24855,0.982515,0.59
O30827,0.97055,0.54
O30971,0.976581,0.76
O34823,0.941768,0.85
O34872,0.933505,0.86
O35017,0.985247,0.57
O35045,0.99131,0.57
O42919,0.951905,0.59
O45687,0.995939,0.59
O61510,0.965191,0.57
O74822,0.987078,0.81
O94564,0.967279,0.71
P08088,0.985237,0.7
P09347,0.989298,0.5
P0A9W9,0.979927,0.51
P0ABF0,0.975261,0.51
P0AFP4,0.98748,0.59
P0CY54,0.994599,0.59
P0DN30,0.981495,0.61
P13604,0.991279,0.56
P13859,0.985237,0.7
P23170,0.994136,0.68
P26620,0.983718,0.58
P27101,0.985107,0.75
P31808,0.988412,0.58
P34251,0.971742,0.66
P37084,0.985641,0.56
P37686,0.98615,0.57
P37820,0.937764,0.57
P38105,0.988726,0.53
P43020,0.993578,0.59
P45200,0.992451,0.84
P50173,0.989184,0.52
P53912,0.991326,0.66
P74246,0.977885,0.55
P83157,0.96433,0.62
P83707,0.96724,0.6
P85508,0.961922,0.99
P91615,0.983849,0.58
P9WGR4,0.992345,0.62
P9WGR5,0.992345,0.62
P9WQC0,0.973926,0.54
P9WQC1,0.973926,0.54
P9WQC2,0.995893,0.53
P9WQC3,0.995893,0.53
Q02430,0.992888,0.57
Q07586,0.977661,0.58
Q07587,0.974445,0.6
Q17EN4,0.992474,0.57
Q22460,0.993691,0.7
Q24857,0.982342,0.64
Q26613,0.987752,0.51
Q28XT3,0.993027,0.56
Q2HJE5,0.978235,0.54
Q2MF72,0.992426,0.55
Q2MFP3,0.992374,0.61
Q32D50,0.98828,0.7
Q3UNZ8,0.984969,0.53
Q45072,0.979777,0.77
Q46363,0.97521,0.53
Q4R0W1,0.990812,0.62
Q54FF4,0.96216,0.58
Q54GJ7,0.963244,0.74
Q54X75,0.967458,0.54
Q59A28,0.977827,0.57
Q5PIL2,0.966071,0.8
Q5UPV0,0.93197,0.61
Q6C705,0.9651,0.61
Q6CNC8,0.914906,0.65
Q6CTQ5,0.953193,0.61
Q6E7D1,0.980208,0.65
Q6FJ26,0.970889,0.69
Q6XQ67,0.98998,0.54
Q7CJM5,0.986762,0.62
Q7Q547,0.969477,0.64
Q7S2H6,0.9633,0.63
Q7VWL3,0.99685,0.61
Q802W4,0.941676,0.53
Q83RK8,0.993864,0.55
Q86A97,0.965056,0.58
Q87E25,0.954262,0.71
Q8BU03,0.980254,0.67
Q8EC35,0.99016,0.66
Q8GB16,0.965208,0.74
Q8H0M1,0.985473,0.56
Q8JFV8,0.993781,0.65
Q8RKJ0,0.888007,0.63
Q8U8I2,0.986517,0.86
Q8Z9L6,0.966403,0.8
Q8ZRX6,0.966263,0.74
Q93T12,0.985107,0.75
Q9AYE4,0.949549,0.64
Q9KJF2,0.993864,0.57
Q9NG40,0.981034,0.8
Q9NG42,0.981034,0.8
Q9P7F4,0.988415,0.51
Q9U8S9,0.981034,0.8
Q9VLL0,0.927753,0.64
Q9ZN54,0.973918,0.59
A6ZML0,0.987093,0.51
A7RK30,0.980807,0.53
B3LM39,0.990653,0.51
B5VPS4,0.990653,0.51
C7GQ91,0.990653,0.51
C8ZF09,0.990653,0.51
E7KGT3,0.990653,0.51
E7LYS5,0.990653,0.51
E7NLM5,0.990387,0.51
E7QJD3,0.990653,0.51
O28918,0.979921,0.59
O31185,0.983733,0.78
O80980,0.965248,0.55
O83500,0.982623,0.51
P0A9X0,0.979927,0.51
P40882,0.985512,0.58
P63475,0.977601,0.61
P74598,0.990139,0.61
P99173,0.977601,0.61
Q5UPF2,0.969267,0.67
Q5UPQ3,0.971886,0.8
Q5UPR7,0.978031,0.79
Q60259,0.794151,0.96
Q60282,0.965032,0.55
Q6G7C8,0.982613,0.61
Q6GEP3,0.978938,0.6
Q8NVD1,0.982613,0.61
Q92IV6,0.988187,0.57
Q9ZDU2,0.991282,0.57
