UniProt_ID,Non-HMR_HMRPred_Probability,MB_Mebipred_Probaility
P70444,0.993197,0.65
P72578,0.999918,0.22
P73911,0.980447,0.31
P77718,0.997529,0.67
P83223,0.999907,0.39
P83782,0.999821,0.97
P94127,0.997643,0.96
P98083,0.984208,0.97
P9WGR1,0.998744,0.96
P9WHH1,0.999687,0.38
P9WIE5,0.996324,0.08
P9WIS5,0.998965,0.49
P9WPP7,0.999928,0.2
Q01519,0.933485,0.98
Q02221,0.992372,0.98
Q02567,0.851339,0.39
Q03200,0.996472,0.99
Q03405,0.981086,0.61
Q03713,0.999818,0.95
Q06787,0.98498,0.73
Q07WU7,0.999654,0.24
Q08IS0,0.996858,0.33
Q0JCU7,0.994525,0.5
Q0VC36,0.985505,1
Q12746,0.998563,0.78
Q12983,0.998538,0.91
Q13315,0.961977,0.16
Q16548,0.988167,1
Q16656,0.998139,0.68
Q1PW30,0.999981,0.33
Q1PX48,0.999883,0.39
Q22663,0.999819,0.99
Q24570,0.998218,0.99
Q2HJ97,0.999102,0.64
Q31MN3,0.999018,0.18
Q39243,0.999171,0.57
Q3E846,0.990676,1
Q3SZN3,0.999434,0.7
Q3TDX8,0.999862,0.19
Q3ZCQ8,0.99883,0.57
Q42290,0.995011,0.95
Q494U1,0.984135,0.72
Q4WR75,0.999532,0.71
Q4WZ67,0.999988,0.69
Q51705,0.99884,0.98
Q54795,0.999856,0.73
Q57366,0.999022,0.87
Q584D1,0.997832,0.78
Q5ABC5,0.999974,0.87
Q5MZ99,0.999018,0.18
Q5R9B4,0.983376,0.36
Q5RB19,0.999177,0.63
Q5SIL0,0.999372,0.5
Q5T011,0.80415,0.29
Q5XIH7,0.999322,0.63
Q63042,0.963921,0.7
Q68EJ0,0.999954,0.23
Q6BCY4,0.998141,0.92
Q6GPH4,0.963832,0.7
Q70G58,0.999955,0.49
Q73WB6,0.998918,0.62
Q76IQ4,0.998098,0.97
Q792S6,0.978584,0.99
Q7KLI1,0.989164,0.44
Q7L1T6,0.999959,0.13
Q80WE1,0.983829,0.35
Q80ZG6,0.999337,0.55
Q83WC8,0.997648,0.18
Q84KI6,0.998737,0.68
Q84VQ4,0.99682,1
Q8BMP4,0.932171,0.42
Q8C1A3,0.989556,0.56
Q8C886,0.995962,0.57
Q8E8S0,0.999874,0.97
Q8GYC7,0.99981,0.75
Q8H112,0.999698,0.73
Q8H1E2,0.996633,0.94
Q8L743,0.993792,0.73
Q8LDU4,0.999511,0.31
Q8N0X7,0.996031,0.46
Q8N5G0,0.985956,1
Q8N8Q8,0.998205,0.79
Q8R107,0.999858,0.85
Q8R1S0,0.999252,0.69
Q8T053,0.994009,0.79
Q92934,0.989657,0.95
Q939D2,0.999942,0.05
Q939U1,0.999696,0.37
Q96500,0.990139,1
Q96A56,0.988879,0.6
Q96GX9,0.997107,0.79
Q96ST8,0.999924,0.61
Q96VT4,0.998916,0.14
Q96Y66,0.999812,0.21
Q99527,0.958179,0.41
Q99623,0.99885,0.64
Q99M66,0.681406,0.83
Q99ML1,0.999361,0.71
Q99MS3,0.996291,0.97
Q9BRQ8,0.956776,0.64
Q9BUV8,0.998894,0.99
Q9BVV7,0.98086,0.99
Q9BXH1,0.998949,0.55
Q9C8L4,0.989597,0.38
Q9CXV1,0.999843,0.66
Q9CZP5,0.999352,0.63
Q9D8H7,0.99979,0.52
Q9DB77,0.999455,0.97
Q9DCM0,0.998709,0.59
Q9DCN2,0.99359,0.96
Q9EPV5,0.999354,0.54
Q9ERH6,0.993934,0.65
Q9FGC7,0.999302,0.33
Q9H1Y3,0.999794,0.22
Q9H300,0.985554,0.53
Q9HD36,0.998352,0.98
Q9JIA7,0.999052,0.74
Q9JLR9,0.973839,1
Q9JLT6,0.991095,0.92
Q9K498,0.997141,0.92
Q9LD45,0.998529,0.36
Q9M158,0.999771,0.93
Q9M2V1,0.999924,0.48
Q9NR28,0.999307,1
Q9NRA0,0.999784,0.99
Q9NYY8,0.994917,0.78
Q9P8P2,0.998988,0.44
Q9RJH9,0.999658,0.06
Q9RT63,0.997233,0.98
Q9S1E5,0.999988,0.14
Q9SZJ5,0.99995,0.51
Q9SZZ8,0.99958,0.63
Q9T0A4,0.997245,0.84
Q9UHQ9,0.999445,0.73
Q9UMX3,0.985126,0.99
Q9UR19,0.996723,0.2
Q9V6G5,0.995124,0.66
Q9WUK7,0.999909,0.24
Q9WVQ5,0.994006,0.79
Q9X6B0,0.992604,0.2
Q9XFH8,0.996068,1
Q9Y255,0.999878,0.88
Q9Y276,0.999606,0.65
Q9Y2Z9,0.997817,0.81
Q9Z1P3,0.995215,0.62
Q9ZNT1,0.999868,0.73
Q9ZU25,0.999959,0.98
V5XKC3,0.999816,0.47
A0A0A2K2F6,0.999973,0.75
A0A0E3JT70,0.999013,0.18
A0ACX8,0.999911,0.06
A0KIY0,0.992513,0.83
A0KRY0,0.998559,0.23
A0KZA4,0.993899,0.48
A0L153,0.999353,0.14
A0PJW6,0.992402,0.92
A0PQH6,0.999557,0.42
A0QGA4,0.999577,0.31
A0QYP1,0.999531,0.12
A0R609,0.997091,0.15
A1A892,0.997637,0.67
A1DHW1,0.991493,0.57
A1JNR2,0.995583,0.97
A1K9V0,0.999839,0.12
A1S3J7,0.99953,0.13
A1S8C9,0.999392,0.99
A1SWV3,0.969772,0.78
A1TA09,0.992684,0.34
A1U6U9,0.987027,0.94
A1UGG4,0.997577,0.98
A2Q7T1,0.996122,0.33
A2XEX2,0.999301,0.7
A3D2B7,0.996535,1
A3GF86,0.99743,0.99
A3Q016,0.997577,0.98
A3QGN4,0.992127,0.95
A4INM5,0.999349,0.1
A4SP64,0.985965,0.7
A4T0J1,0.996173,0.33
A4TA35,0.992388,0.36
A4TPF8,0.993593,0.94
A4VK13,0.998957,0.07
A4WG57,0.999822,0.65
A4X6K7,0.99952,0.13
A5DQ25,0.99862,1
A5F660,0.994192,0.87
A5FZM1,0.998152,0.11
A5GTX8,0.997207,0.15
A5UC48,0.989249,0.96
A5UEV3,0.992014,0.96
A5W4F1,0.533974,0.98
A6H0C4,0.998715,0.06
A6T5F6,0.999228,0.96
A6T9H9,0.999853,0.47
A6VDN5,0.99827,0.57
A6VQ53,0.992745,0.97
A6VVN4,0.999468,0.11
A6WL09,0.996535,1
A6ZVM6,0.795872,0.7
A7FLE0,0.993593,0.94
A7MJS4,0.999295,0.34
A7MYC5,0.994449,0.89
A7TNL7,0.993893,0.96
A7ZIH7,0.997364,0.67
A7ZX76,0.997637,0.67
A8AK31,0.996677,0.65
A8FYK5,0.921784,0.97
A8GAP5,0.999292,0.65
A8H6W6,0.955887,1
A8IHK8,0.999844,0.13
A8M0L5,0.999612,0.12
A8NK72,0.987686,0.39
A9AGE5,0.999967,0.06
A9KTM0,0.996535,1
A9MM39,0.994858,0.77
A9MX06,0.99577,0.76
A9QZR9,0.993593,0.94
B0SLJ6,0.99312,0.01
B0TQ31,0.88633,1
B0UUA1,0.986104,0.67
B1J026,0.997637,0.67
B1JID5,0.993593,0.94
B1KFI8,0.995042,0.18
B1KN79,0.990156,0.49
B1KQY3,0.891875,0.89
B1LJH3,0.997529,0.67
B1XF11,0.997529,0.67
B2HE73,0.999637,0.41
B2K6U1,0.994865,0.94
B2U4M7,0.997424,0.67
B2VFG0,0.999487,0.23
B2VHS0,0.985507,0.92
B3PEP6,0.996779,0.11
B3Q4F9,0.999381,0.09
B3QAA7,0.997454,0.08
B4EU34,0.992529,0.91
B4SWR7,0.996667,0.77
B4T8R6,0.996667,0.77
B4TMA5,0.99577,0.77
B5BDA7,0.99577,0.77
B5EXG6,0.99577,0.77
B5FBH1,0.995572,0.85
B5FKT0,0.998246,0.77
B5QTH3,0.998246,0.77
B5R6S6,0.998246,0.77
B5Y0W8,0.99935,0.96
B5Z3S9,0.996702,0.67
B6EIB2,0.993305,0.79
B6HZM6,0.997364,0.67
B7L657,0.997364,0.67
B7LMG4,0.997253,0.67
B7M3R2,0.99817,0.67
B7MD81,0.997637,0.67
B7MQD8,0.997637,0.67
B7N8X6,0.997529,0.67
B7NJ74,0.997529,0.67
B7UJP6,0.997529,0.67
B7V3L1,0.996646,0.58
B7VJ96,0.994469,0.97
B8CQH4,0.995014,0.98
B8EAU2,0.996535,1
B9JKI5,0.999424,0.06
C0IW58,0.994949,1
C0Q7V0,0.997793,0.66
C1DHW2,0.997463,0.52
C1F960,0.997899,0.13
C3K7D0,0.997626,0.73
C4LAC1,0.997903,0.6
C4ZTI0,0.997529,0.67
C5BCI2,0.997191,0.78
C6C1T6,0.997696,0.17
C6DB40,0.99363,0.91
D3Z7Q2,0.995704,1
D4AK45,0.999607,0.66
E0TW64,0.985847,0.96
F1RAX8,0.997346,1
G3XCZ8,0.999302,0.45
H6LGM7,0.983176,0.67
H8F3Q9,0.996324,0.08
M1V1V5,0.999954,0.79
M1W0X8,0.700173,0.28
O08404,0.999718,0.3
O08405,0.999765,0.17
O27002,0.999843,0.49
O31066,0.972923,0.11
O32217,0.970052,0.52
O34215,0.999973,0.47
O49814,0.995458,0.5
O53182,0.999688,0.57
O60044,0.99791,0.72
O64422,0.999301,0.7
O73955,0.992424,0.14
O74557,0.986956,0.6
O87864,0.999789,0.11
O87948,0.998679,1
O88160,0.999547,0.21
O94268,0.99805,0.69
O94587,0.974147,1
P00115,0.999357,0.35
P00150,0.999965,0.63
P00426,0.999949,0.83
P04038,0.996112,0.98
P05465,0.997957,0.66
P06182,0.99796,0.42
P09195,0.999625,0.66
P0A388,0.999927,0.7
P0A766,0.997903,0.93
P0ABM1,0.994855,0.99
P0C619,0.533974,0.98
P0C8F0,0.991163,0.12
P0DF94,0.999299,0.99
P0DOV3,0.993474,0.47
P11543,0.935049,0.43
P12687,0.986946,0.97
P12787,0.999953,0.96
P14066,0.999257,0.84
P14548,0.9982,0.49
P16221,0.969728,1
P17750,0.999901,0.89
P19480,0.999939,0.99
P20010,0.978106,0.51
P20013,0.996266,0.36
P20610,0.99222,1
P21764,0.964986,0.33
P22365,0.999508,0.83
P22418,0.999623,1
P22945,0.998841,0.47
P23312,0.96252,0.85
P24040,0.999953,0.4
P26178,0.992772,0.37
P26829,0.999994,0.95
P29898,0.997236,0.73
P32559,0.999554,0.77
P35160,0.977906,0.95
P35162,0.99771,0.56
P35171,0.976637,0.4
P36841,0.994004,0.26
P36858,0.936622,0.55
P37229,0.999878,0.75
P38365,0.994544,1
P38816,0.995652,1
P38909,0.987177,0.93
P39186,0.912687,0.54
P39863,0.993764,0.76
P39866,0.998176,0.59
P40452,0.999762,0.99
P40493,0.999938,0.82
P41851,0.99956,0.98
P42974,0.999988,0.46
P43496,0.999546,0.93
P46275,0.999893,1
P46285,0.996069,0.99
P46817,0.997726,0.08
P48771,0.988609,0.52
P50622,0.955333,0.61
P50736,0.999795,0.98
P52005,0.973526,0.35
P53239,0.999301,0.39
P53266,0.998558,0.96
P53702,0.997907,0.66
P54715,0.999944,0.55
P55913,0.996556,0.77
P56213,0.991536,0.76
P57849,0.990631,0.69
P61937,0.999891,0.49
P72181,0.999943,0.32
P74155,0.99952,1
P74625,0.995952,0.35
P78733,0.983424,0.43
P79812,0.98568,0.49
P79898,0.977235,0.51
P80433,0.986991,1
P92527,0.990363,0.62
P93286,0.981942,1
P94346,0.98883,0.98
P94951,0.969509,0.67
P95339,0.99591,0.14
P97783,0.93365,0.98
P9WGR0,0.998744,0.96
P9WIE4,0.996324,0.08
P9WN87,0.999864,0.96
Q00459,0.999217,1
Q01373,0.984702,0.59
Q02EP8,0.996646,0.58
Q04006,0.999809,0.59
Q04657,0.999487,0.33
Q05145,0.99993,0.72
Q05588,0.713999,0.53
Q06529,0.999781,0.78
Q06530,0.998793,0.97
Q06678,0.99983,0.57
Q07V22,0.99975,0.07
Q07YF5,0.999663,0.12
Q07ZD9,0.992267,1
Q082Q2,0.999054,0.29
Q08871,0.998103,0.62
Q0BRH7,0.998757,0.23
Q0C0D1,0.997024,0.46
Q0HGM0,0.994395,0.48
Q0HSX1,0.993899,0.48
Q0I3G4,0.976781,0.67
Q0S5Y0,0.999627,0.16
Q0T7G6,0.997529,0.67
Q12L31,0.961675,1
Q12PF6,0.99926,0.62
Q15UE5,0.99494,0.24
Q1B8J4,0.997577,0.98
Q1C3Z0,0.999747,0.39
Q1C4J3,0.993593,0.94
Q1CL83,0.993593,0.94
Q1GCU3,0.998795,0.07
Q1M498,0.99987,0.09
Q1Q0T2,0.997992,0.46
Q1Q0T3,0.999727,0.56
Q1R185,0.995413,0.3
Q1R3X0,0.998799,0.94
Q1RFB7,0.997637,0.67
Q21CF0,0.999648,0.06
Q21DT6,0.997257,0.22
Q21NG2,0.999042,0.96
Q28S09,0.999687,0.31
Q2A298,0.997082,0.25
Q2FSF4,0.997231,0.3
Q2G479,0.998758,0.06
Q2J2I9,0.999067,0.1
Q2JZT8,0.999084,0.09
Q2KIL4,0.993173,0.46
Q2KTI4,0.999435,0.06
Q2NV91,0.990258,0.48
Q2RZX7,0.999803,0.28
Q2UFN3,0.996393,0.6
Q2V2P9,0.991305,1
Q325H8,0.996126,0.67
Q32JI1,0.996472,0.67
Q32LH7,0.99993,0.2
Q33568,0.985461,0.99
Q39242,0.999801,0.91
Q3ATL6,0.999815,0.06
Q3E870,0.959994,0.8
Q3KE62,0.998949,0.13
Q3KJG6,0.998156,0.62
Q3TYS2,0.995695,0.36
Q3Z4Y6,0.997244,0.67
Q42796,0.999881,1
Q47140,0.998808,0.63
Q471D2,0.999352,0.4
Q486C8,0.999114,0.31
Q498R1,0.999769,0.65
Q4F6N6,0.997531,0.16
Q4QKG3,0.997299,0.95
Q4WZ69,0.999791,0.81
Q4ZLX9,0.989579,0.88
Q4ZNN4,0.998476,0.12
Q51700,0.999935,0.36
Q53177,0.999569,0.28
Q54714,0.997906,0.97
Q56351,0.972111,0.45
Q57501,0.992732,0.91
Q57SD9,0.993585,0.77
Q59086,0.990783,0.68
Q59P03,0.999499,0.99
Q5E6Y5,0.995437,0.85
Q5NGV7,0.996852,0.25
Q5PFQ4,0.99577,0.77
Q5QWH3,0.990922,0.16
Q5RC29,0.998597,0.47
Q5WZY1,0.998248,0.74
Q5ZSX7,0.998891,0.34
Q5ZZ17,0.996945,0.76
Q60HG4,0.97158,0.89
Q65TP1,0.998321,0.73
Q66DV0,0.994865,0.94
Q66E82,0.992604,0.2
Q68FN7,0.983312,0.4
Q68FU7,0.999556,0.72
Q69YU5,0.984267,0.64
Q6BUX2,0.999792,1
Q6CID0,0.992847,0.99
Q6D841,0.994138,0.84
Q6FLT3,0.999826,0.97
Q6IPT4,0.99977,0.95
Q6LU02,0.995972,0.68
Q6N8N2,0.999939,0.33
Q6NCP1,0.997924,0.08
Q6W102,0.99935,0.12
Q70LM3,0.98847,0.45
Q73ZD5,0.999704,0.31
Q74A86,0.998281,0.42
Q7BSW8,0.991163,0.12
Q7JVA5,0.998031,0.71
Q7MN44,0.999623,0.97
Q7N0J9,0.99584,0.73
Q7S5M7,0.998814,0.99
Q7TQ16,0.999737,0.65
Q7UUW9,0.997005,0.18
Q7VKR6,0.990304,0.97
Q7YRZ9,0.998352,0.61
Q81KU0,0.998593,0.9
Q82IY3,0.998363,0.48
Q82W83,0.992661,0.61
Q83SG1,0.997529,0.67
Q87RT6,0.989404,0.84
Q88AM9,0.994464,0.88
Q88CY4,0.999312,0.75
Q8CVD0,0.999299,0.89
Q8DFA8,0.999671,0.97
Q8E981,0.998949,0.23
Q8EGR4,0.989247,0.48
Q8EIV5,0.997131,0.17
Q8FBA9,0.998799,0.94
Q8FKB7,0.997637,0.67
Q8GTZ9,0.999521,0.66
Q8K0Z7,0.995475,0.35
Q8KIL1,0.995118,0.88
Q8L3B3,0.999068,0.44
Q8NJN2,0.999462,0.12
Q8PMX4,0.999817,0.1
Q8RJZ6,0.999592,0.09
Q8SKU2,0.999391,0.49
Q8TQS4,0.999932,0.6
Q8TS34,0.997813,0.26
Q8TSY2,0.999243,0.98
Q8VYD9,0.99169,0.99
Q8WSR2,0.995314,0.96
Q8X1N3,0.999311,0.16
Q8XE74,0.996702,0.67
Q8Y1B4,0.999566,0.16
Q8Z8X1,0.997595,0.76
Q8ZBN6,0.999747,0.39
Q8ZC49,0.993593,0.94
Q93VA3,0.999688,0.28
Q941A0,0.999511,0.73
Q94518,0.722986,0.42
Q96375,0.941467,0.63
Q96XT2,0.999804,0.63
Q97AK6,0.999816,0.56
Q987S0,0.999914,0.06
Q9AP06,0.996991,0.16
Q9D855,0.999777,0.98
Q9F0W4,0.998767,0.24
Q9HKT9,0.998904,0.89
Q9HU66,0.996646,0.58
Q9K804,0.994024,0.85
Q9KEE6,0.999478,0.16
Q9KTK8,0.999832,0.88
Q9LSQ2,0.999264,0.86
Q9LTG0,0.99746,0.74
Q9LW15,0.999581,0.94
Q9P7X0,0.999458,0.64
Q9R2E9,0.999552,0.15
Q9R708,0.998603,0.19
Q9RQB9,0.9979,0.38
Q9SUC5,0.996619,0.52
Q9T6H8,0.99978,0.5
Q9U4F3,0.973406,0.59
Q9UDX5,0.999088,1
Q9V3U9,0.99987,0.99
Q9VMQ5,0.971637,0.96
Q9WXB9,0.996945,0.76
Q9X220,0.999731,0.83
Q9XFH9,0.996012,0.96
Q9Y7Z9,0.999699,0.63
Q9ZGM4,0.998891,0.34
S5SC42,0.987348,0.86
V5IM94,0.971693,0.76
W7MRI4,0.950041,0.66
A0A0A2JWD5,0.999808,0.92
A0A0D2YFZ9,0.99682,0.37
A0A0D2YG05,0.992835,0.47
A0A0D2YG06,0.998447,0.68
A0A0H2ZDT7,0.999426,1
A0A0K9RDW0,0.998722,0.38
A0A1D8PJT8,0.999393,0.22
A0A1E3M8P2,0.999774,0.7
A0AJ41,0.999811,0.41
A0B2Q6,0.999749,0.05
A0K4Q2,0.999851,0.03
A0LZM9,0.998632,0.11
A0Q419,0.99753,0.94
A0Q5L1,0.996532,0.22
A0RJN9,0.999629,0.9
A1AEV0,0.999954,0.63
A1AGI0,0.999506,0.36
A1AHN9,0.9983,0.67
A1AIC1,0.998799,0.94
A1ANT3,0.999721,0.13
A1AV44,0.997367,0.7
A1B0E4,0.998278,0.68
A1B4Z0,0.999635,0.29
A1BEI1,0.999436,0.09
A1C7E9,0.997215,0.55
A1CRK9,0.999667,0.84
A1D4H0,0.9999,1
A1JJS2,0.999933,0.43
A1JRZ3,0.999226,0.97
A1KJX3,0.997726,0.08
A1REM5,0.998361,0.21
A1S3A0,0.999563,0.19
A1SAR6,0.998183,0.29
A1SF13,0.99729,0.25
A1SWM1,0.99512,1
A1T0M9,0.991314,0.99
A1T9D9,0.999443,0.16
A1TRV8,0.999621,0.11
A1U7J4,0.990174,0.46
A1V0A6,0.999953,0.04
A1WUH1,0.995537,0.39
A1WWE3,0.90595,0.82
A2Q898,0.99957,0.97
A2QCV4,0.998153,0.64
A2RF72,0.999451,0.99
A2RIA6,0.999069,0.55
A2S5D5,0.999953,0.04
A2SMA4,0.999645,0.1
A3CMR7,0.996855,1
A3D0Y7,0.999847,0.12
A3DEB6,0.998389,0.85
A3LT66,0.999882,0.81
A3M1S3,0.999854,0.27
A3MPB8,0.999953,0.04
A3NDB2,0.999953,0.04
A3NZ22,0.999953,0.04
A4FIR1,0.999464,0.06
A4IRT9,0.992648,0.49
A4IZ86,0.996559,0.25
A4J015,0.998075,0.94
A4JBP6,0.999366,0.06
A4JPG0,0.999534,0.19
A4R935,0.992525,0.54
A4SS04,0.99894,0.27
A4TPY5,0.999528,0.39
A4TQ37,0.992604,0.2
A4VS82,0.936179,0.94
A4VUF4,0.999488,0.98
A4W0P5,0.999488,0.98
A4WDW1,0.999689,0.73
A4WF97,0.997082,0.31
A4WGH2,0.997514,0.69
A4XZ62,0.999733,0.14
A4Y2G4,0.998361,0.21
A4YNR8,0.999603,0.09
A5DHC2,0.999853,0.69
A5DQE4,0.999666,0.96
A5E5C5,0.999794,0.96
A5EQ55,0.999622,0.12
A5F484,0.993307,0.99
A5FXV3,0.999534,0.97
A5G0F8,0.999108,0.42
A5IA67,0.997132,0.76
A5IF70,0.999242,0.3
A5ITN8,0.999323,0.6
A5IUN6,0.985509,0.59
A5N6D9,0.960396,0.49
A5PJG7,0.997504,0.36
A5U3S7,0.996324,0.08
A5UKU4,0.99978,0.59
A5VIU7,0.999733,0.77
A6QHP9,0.999456,0.6
A6QIT4,0.985509,0.59
A6R1T7,0.999308,0.97
A6R2K7,0.993347,0.56
A6SI59,0.989238,1
A6SY97,0.996355,0.17
A6TD49,0.999759,0.75
A6TG08,0.999749,0.57
A6TNI2,0.999403,0.11
A6TQ96,0.985281,0.61
A6TV07,0.997323,1
A6U2I2,0.999323,0.6
A6U3H6,0.985509,0.59
A6UKC3,0.99679,0.03
A6VF45,0.959412,0.71
A6W3V1,0.993133,0.98
A6WS27,0.999914,0.12
A6ZZH2,0.997121,1
A7EKT5,0.998122,1
A7FLT3,0.992604,0.2
A7FLZ0,0.999675,0.39
A7GTS8,0.998872,0.96
A7HT94,0.982056,0.28
A7I6W6,0.997621,0.16
A7MN02,0.999792,0.99
A7MPE7,0.998981,0.69
A7MZ01,0.996456,0.19
A7NDL0,0.997082,0.25
A7THS1,0.999093,0.87
A7TM72,0.998816,0.98
A7X3E5,0.999323,0.6
A7X4S6,0.985509,0.59
A7Z7N3,0.9997,0.6
A7ZQK7,0.999957,0.63
A7ZSH7,0.999201,0.35
A7ZTR1,0.997613,0.66
A7ZUG1,0.998799,0.94
A8A3P5,0.999953,0.65
A8A593,0.999138,0.35
A8A6G7,0.9983,0.67
A8A750,0.998785,0.94
A8ACL7,0.99213,0.99
A8AKX8,0.999711,0.93
A8ANX1,0.999634,0.87
A8AQI3,0.999202,0.34
A8AWF4,0.997417,1
A8C7R7,0.999936,0.49
A8C7S0,0.994006,0.99
A8ERP8,0.999976,0.18
A8EV24,0.998805,0.2
A8F6I7,0.999615,0.32
A8FP42,0.991833,1
A8G9X6,0.999883,0.81
A8GGQ0,0.999647,0.06
A8LBC6,0.999923,0.12
A8LTG4,0.998239,0.53
A8MHS1,0.979026,0.65
A8YUL5,0.999928,0.52
A8Z2N1,0.999456,0.6
A9A0F0,0.999243,0.11
A9KKT0,0.982467,0.89
A9L1H8,0.999889,0.12
A9MI19,0.999899,0.9
A9MJT7,0.997487,0.98
A9MN78,0.999226,0.32
A9MX83,0.99716,0.98
A9N0F0,0.999879,0.89
A9N8B3,0.999765,0.31
A9NHG7,0.99985,1
A9R0X4,0.992604,0.2
B0C4G1,0.999546,0.13
B0CQN7,0.998451,0.46
B0K3I5,0.957704,0.96
B0K8J2,0.977313,0.97
B0R9V8,0.992424,0.14
B0RNU9,0.991992,1
B0RXD3,0.999763,0.08
B0RZV0,0.999826,0.77
B0SD19,0.99312,0.01
B0SX45,0.997433,0.07
B0TQH1,0.976912,0.99
B0TRN5,0.998947,0.9
B0TW73,0.998724,1
B0TYQ6,0.989774,0.2
B0V4K1,0.999846,0.26
B0VYX1,0.999958,0.96
B0VYX2,0.999947,0.98
B0VYX3,0.999963,0.96
B0VYX4,0.999953,0.97
B0VYX5,0.999959,0.92
B0VYX6,0.999954,0.96
B0VYX7,0.99998,0.76
B0VYX8,0.999977,0.9
B0VYY3,0.999974,0.98
B0VYY4,0.999906,0.97
B1AS42,0.999822,0.49
B1HX36,0.999283,0.57
B1IB49,0.999827,1
B1IQ11,0.999138,0.35
B1IU77,0.999957,0.63
B1IVD5,0.998785,0.94
B1IX33,0.9983,0.67
B1JJB5,0.993322,0.2
B1JVZ2,0.999813,0.03
B1K6I9,0.999749,0.05
B1LGP5,0.999189,0.35
B1LL32,0.9983,0.67
B1LNQ3,0.998799,0.94
B1LTW1,0.950851,0.45
B1M869,0.988761,0.32
B1MBD0,0.999463,0.17
B1W5Q9,0.999724,0.06
B1X6E1,0.999138,0.35
B1X9T4,0.998078,0.67
B1XBA8,0.998785,0.94
B1XK45,0.992345,0.98
B1Y7V8,0.997842,0.24
B1YTH4,0.99959,0.03
B1Z5M2,0.999772,0.18
B2A8M8,0.999014,0.6
B2FPA5,0.998642,0.53
B2G6C3,0.999733,0.77
B2GAZ4,0.999328,0.61
B2I352,0.999862,0.27
B2I5Z2,0.99894,0.08
B2IDV5,0.996039,0.61
B2II34,0.999319,0.05
B2IP11,0.999818,1
B2JJR8,0.997492,1
B2K5B9,0.992604,0.2
B2S3F1,0.998772,0.43
B2SDI5,0.997043,0.25
B2SE60,0.99797,0.94
B2T7U1,0.984943,1
